smiles,submitter_name,ref_pdb,hit_names,ROMol,ID,name
Cc1cc(NC(=O)C(C)(C)C(F)(F)F)[nH]n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2f20>,Z3186242713,steph_fragnetv2_Z3186242713
CCn1nc(C(C)(C)C)cc1NC(=O)CCC(C)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2eb0>,Z3608266646,steph_fragnetv2_Z3608266646
CCCC(=O)Nc1[nH]ncc1-c1cccnc1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2b30>,Z4201198309,steph_fragnetv2_Z4201198309
CCCCC(=O)Nc1cc(C)n[nH]1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2c80>,"Z666224326,CHEMSPACE-BB","steph_fragnetv2_Z666224326,CHEMSPACE-BB"
CCOC(=O)c1cc(NC(=O)CC(CC)C(C)(C)C)[nH]n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8040>,PV-002102374373,steph_fragnetv2_PV-002102374373
CCn1nccc1NC(=O)C(F)(F)C(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d80b0>,Z1343974295,steph_fragnetv2_Z1343974295
CC(CC(=O)Nc1cnn(CCC(=O)O)c1)C(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8120>,Z3839816110,steph_fragnetv2_Z3839816110
CCn1nc(C(C)(C)C)cc1NC(=O)CC(C)C(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8190>,Z3608271981,steph_fragnetv2_Z3608271981
COCn1cc(NC(=O)C(SC)C(C)(C)C)cn1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8200>,Z2911862079,steph_fragnetv2_Z2911862079
CC(=O)Nc1[nH]nc(C(=O)NCC(=O)OC(C)(C)C)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8270>,PV-004086888973,steph_fragnetv2_PV-004086888973
CC=C(CC)C(=O)Nc1cc(C)n[nH]1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d82e0>,Z2028553140,steph_fragnetv2_Z2028553140
CCC(C#N)(CC)C(=O)Nc1cc(C)n[nH]1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8350>,Z3186241070,steph_fragnetv2_Z3186241070
CCC(C)n1nccc1NC(=O)CSC(F)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d83c0>,Z392233794,steph_fragnetv2_Z392233794
CCCCc1cc(NC(=O)C(C)C)[nH]n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d8430>,Z932109700,steph_fragnetv2_Z932109700
Cn1nc(-c2ccsc2)cc1NC(=O)CCCC(F)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760d84a0>,Z1902752430,steph_fragnetv2_Z1902752430
